year,resolution,share,visibleInLegend,order,color
2000,1024x768,25,false,1,
2000,Other,75,false,2,#ccc
2001,1024x768,29,false,1,
2001,Other,71,false,2,#ccc
2002,1024x768,34,false,1,
2002,Other,66,false,2,#ccc
2003,1024x768,40,false,1,
2003,Other,60,false,2,#ccc
2004,1024x768,47,false,1,
2004,Other,53,false,2,#ccc
2005,1024x768,53,false,1,
2005,Other,47,false,2,#ccc
2006,1024x768,57,false,1,#c00
2006,Other,43,false,2,#ccc
2007,1024x768,54,false,1,
2007,Other,46,false,2,#ccc
2008,1024x768,48,false,1,
2008,Other,52,false,2,#ccc
2009,1024x768,36,false,1,
2009,Other,64,false,2,#ccc
